"nom_fashionjobs","offres_annuaire","fiche_fashionjobs","statut_couverture","type_acteur","methode_rapprochement","company_ids","companies","ambiguite_plusieurs_fiches","offres_base_monde","offres_base_france","offres_base_source_directe_france","offres_directes_sans_pays","ecart_base_direct_fr_moins_annuaire","comparaison_certifiee","domaines_base","sources_catalogue","sources_directes_actives","portails_groupe","statut_recherche","liens_carriere_candidats_non_certifies","sites_candidats_lus","portail_revu","preuve_identite_ou_portail","qualification_documentee","ats_revu","prochaine_action"
"NEW BALANCE","13","https://fr.fashionjobs.com/recrutement/new-balance.html","SOURCE_DIRECTE_CATALOGUEE_A_CERTIFIER","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtp25hct0fl7qq4zwb6y1cby","New Balance","NON","60","16","15","0","2","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","newbalance.com","new-balance:ACTIVE","new-balance | nike","","WEBSITE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Certifier identité, attribution et complétude de la source existante"
"TARA JARMON","13","https://fr.fashionjobs.com/recrutement/tara-jarmon.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"Aigle","12","https://fr.fashionjobs.com/recrutement/aigle.html","SOURCE_DIRECTE_CATALOGUEE_A_CERTIFIER","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtlyojxw0k1zqf5k0bdeyvwn","Aigle","NON","107","105","105","0","93","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","aigle.com","aigle:ACTIVE","aigle","","WEBSITE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Certifier identité, attribution et complétude de la source existante"
"FALCONERI","12","https://fr.fashionjobs.com/recrutement/falconeri.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_CAREER_LINK_FOUND_ON_PAGES_READ","https://www.oniverse.it/il-gruppo/careers","https://www.falconeri.com/fr/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"FROM FUTURE","12","https://fr.fashionjobs.com/recrutement/from-future.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdvyvj1t4unf2bw0iei77m","FROM FUTURE","NON","13","13","0","0","-12","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","fromfuture.com","","","","ATS_HINT_REVIEW_REQUIRED","https://www.welcometothejungle.com/fr/companies/from-future","https://fromfuture.com/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"MANPOWER COUTURE MODE ET LUXE","12","https://fr.fashionjobs.com/recrutement/manpower-couture-mode-et-luxe.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdvxic1spmnf2bszodb3wk","MANPOWER COUTURE MODE ET LUXE","NON","7","7","0","0","-12","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"BONPOINT","11","https://fr.fashionjobs.com/recrutement/bonpoint.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","CAREER_LINKS_OBSERVED_REVIEW_REQUIRED","https://www.bonpoint.com/blogs/actualites/carrieres","https://www.bonpoint.com/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"NICE CONCEPT RECRUTEMENT","11","https://fr.fashionjobs.com/recrutement/nice-concept-recrutement.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdvwlc1sgcnf2bemx9zsc6","NICE CONCEPT RECRUTEMENT","NON","0","0","0","0","-11","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"VANESSA BRUNO","11","https://fr.fashionjobs.com/recrutement/vanessa-bruno.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdvugb1ro7nf2b00w12jbk","VANESSA BRUNO","NON","2","2","0","0","-11","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","vanessabruno.com","","","","NO_CAREER_LINK_FOUND_ON_PAGES_READ","","https://www.vanessabruno.com/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"VIB'S","11","https://fr.fashionjobs.com/recrutement/vib-s.html","SOURCE_DIRECTE_CATALOGUEE_A_CERTIFIER","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtm7ucqi10y3pv5j1s4jalzb","Vib's","NON","31","31","31","0","20","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","vibs.com","","element-6","","NO_CAREER_LINK_FOUND_ON_PAGES_READ","https://www.groupe-beaumanoir.com/nos-offres","https://vibs.com/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Certifier identité, attribution et complétude de la source existante"
"CREATIONS FUSALP","10","https://fr.fashionjobs.com/recrutement/creations-fusalp.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdvupo1rshnf2b5mz54rmt","CREATIONS FUSALP","NON","2","2","0","0","-10","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","fusalp.com","","","","CAREER_LINKS_OBSERVED_REVIEW_REQUIRED","https://www.welcometothejungle.com/fr/companies/fusalp/jobs","https://fusalp.com/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"L'OCCITANE EN PROVENCE - FRANCE","10","https://fr.fashionjobs.com/recrutement/l-occitane-en-provence-france.html","SOURCE_DIRECTE_CATALOGUEE_A_CERTIFIER","A_QUALIFIER","REGLE_CANONIQUE_CANDIDATE","cmtke2us500d0lp2bu5et2x5u","L’Occitane en Provence","NON","15","9","9","0","-1","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","loccitane.com","","l-occitane-en-provence-2","","CAREER_LINKS_OBSERVED_REVIEW_REQUIRED","","https://loccitane.com/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Certifier identité, attribution et complétude de la source existante"
"BOLIA","9","https://fr.fashionjobs.com/recrutement/bolia.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"FRANCINE BRAMLI PARIS","9","https://fr.fashionjobs.com/recrutement/francine-bramli-paris.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtlq3ud31lykpg2bduhm3r5e","FRANCINE BRAMLI PARIS","NON","0","0","0","0","-9","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"LANCEL SOGEDI","9","https://fr.fashionjobs.com/recrutement/lancel-sogedi.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_CAREER_LINK_FOUND_ON_PAGES_READ","https://lancel.nous-recrutons.fr/","https://lancel.com/fr","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"LANVIN","9","https://fr.fashionjobs.com/recrutement/lanvin.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdvurw1rthnf2b8qwacb78","LANVIN","NON","1","1","0","0","-9","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","lanvin.com","","","","NO_CAREER_LINK_FOUND_ON_PAGES_READ","","https://fr.lanvin.com/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"LFP EMPLOI MODE","9","https://fr.fashionjobs.com/recrutement/lfp-emploi-mode.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdw0ny1tkynf2bzqvvh2d1","LFP EMPLOI MODE","NON","4","4","0","0","-9","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"LIVY","9","https://fr.fashionjobs.com/recrutement/livy.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdw2bs1u3jnf2bcaxbjlnn","LIVY","NON","0","0","0","0","-9","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_CAREER_LINK_FOUND_ON_PAGES_READ","https://int.li-vy.com/pages/livy-recrute","https://int.li-vy.com/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"MANPOWER CABINET DE RECRUTEMENT COMMERCE MODE LUXE","9","https://fr.fashionjobs.com/recrutement/manpower-cabinet-de-recrutement-commerce-mode-luxe.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdvuso1rttnf2b8qqswto4","MANPOWER CABINET DE RECRUTEMENT COMMERCE MODE LUXE","NON","4","4","0","0","-9","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"MARC ORIAN","9","https://fr.fashionjobs.com/recrutement/marc-orian.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","CAREER_LINKS_OBSERVED_REVIEW_REQUIRED","","https://www.marc-orian.com/fr_FR","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"POIRAY INTERNATIONAL","9","https://fr.fashionjobs.com/recrutement/poiray-international.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdvxip1spqnf2bzqsn7awe | cmtpw96kt4k50l35m5ickofp2","POIRAY INTERNATIONAL | POIRAY","OUI","2","2","0","0","-9","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","poiray.com | poiray.com","","","","NO_CAREER_LINK_FOUND_ON_PAGES_READ","","https://poiray.com/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"REPETTO","9","https://fr.fashionjobs.com/recrutement/repetto.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdvuig1rp7nf2bffwmb758","REPETTO","NON","6","6","0","0","-9","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","repetto.com","","","","CAREER_LINKS_OBSERVED_REVIEW_REQUIRED","https://repetto.com/pages/recrutement | https://repetto.com/pages/job/charge-e-de-la-relation-client-et-de-l-e-reputation | https://repetto.com/pages/job/conseiller-de-vente-h-f-35-h-lyon-1 | https://repetto.com/pages/job/conseiller-de-vente-h-f-rue-du-four | https://repetto.com/pages/job/conseiller-ere-de-vente-cdi-14-h-lundi-mardi | https://repetto.com/pages/job/conseiller-ere-de-vente-grands-magasins-1 | https://repetto.com/pages/job/conseiller-ere-de-vente-passy | https://repetto.com/pages/job/developpeur-se-produit-textile-h-f | https://repetto.com/pages/job/stage-assistant-e-presse-et-communication","https://repetto.com/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"CACHE CACHE","8","https://fr.fashionjobs.com/recrutement/cache-cache.html","SOURCE_DIRECTE_CATALOGUEE_A_CERTIFIER","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtm7ucr010y7pv5j8qg9y2m6","Cache Cache","NON","61","61","61","0","53","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","cache-cache.fr","","element-6","","NO_CAREER_LINK_FOUND_ON_PAGES_READ","http://www.groupe-beaumanoir.com/nos-offres","https://cache-cache.fr/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Certifier identité, attribution et complétude de la source existante"
"FIGARET","8","https://fr.fashionjobs.com/recrutement/figaret.html","SOURCE_CATALOGUEE_SANS_DIRECT_ACTIF","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdvv5c1ryunf2b97b3chj5","Figaret","NON","2","2","0","0","-8","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","figaret.com","figaret:RETIRED","","","ATS_HINT_REVIEW_REQUIRED","https://www.welcometothejungle.com/fr/companies/figaret","https://figaret.com/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"GROUPE GALERIES LAFAYETTE","8","https://fr.fashionjobs.com/recrutement/groupe-galeries-lafayette.html","SOURCE_DIRECTE_CATALOGUEE_A_CERTIFIER","A_QUALIFIER","REGLE_CANONIQUE_CANDIDATE","cmtjwevud09phld2b3dd13ehg","Galeries Lafayette","NON","165","161","161","4","153","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","groupegalerieslafayette.com","galeries-lafayette:ACTIVE","galeries-lafayette","","WEBSITE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Certifier identité, attribution et complétude de la source existante"
"ONLY STORES FRANCE","8","https://fr.fashionjobs.com/recrutement/only-stores-france.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdvucs1rn0nf2bc64zqrgw","ONLY STORES FRANCE","NON","0","0","0","0","-8","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"PRONOVIAS","8","https://fr.fashionjobs.com/recrutement/pronovias.html","SOURCE_DIRECTE_CATALOGUEE_A_CERTIFIER","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtlyj52707cbqf5kakmthuio","Pronovias","NON","35","9","9","0","1","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","pronovias.com","pronovias:ACTIVE","pronovias","","CAREER_LINKS_OBSERVED_REVIEW_REQUIRED","https://careers.pronovias.com/en | https://careers.pronovias.com/en/jobs | https://careers.pronovias.com/sso_login | https://careers.pronovias.com/en/connect/login | https://careers.pronovias.com/en/connect | https://careers.pronovias.com/en#jobs | https://careers.pronovias.com/en/jobs/8159728-retail-area-manager-france | https://careers.pronovias.com/en/jobs/6557214-assistant-store-manager | https://careers.pronovias.com/en/jobs/6155794-bridal-sales-consultant | https://careers.pronovias.com/fr | https://careers.pronovias.com/it | https://careers.pronovias.com/pl | https://careers.pronovias.com/pt | https://careers.pronovias.com/ | https://www.teamtailor.com/ | https://careers.pronovias.com/jobs | https://careers.pronovias.com/connect/login | https://careers.pronovias.com/connect | https://careers.pronovias.com/#jobs | https://careers.pronovias.com/jobs/8333984-merchandising-pricing-trainee | https://careers.pronovias.com/jobs/8333845-recepcionista-front-desk | https://careers.pronovias.com/jobs/8333454-asesor-a-de-ventas-moda-nupcial-contrato-temporal | https://careers.pronovias.com/jobs/8333280-asesor-a-de-ventas-moda-nupcial-contrato-temporal | https://careers.pronovias.com/jobs/8333250-asesor-a-de-ventas-moda-nupcial-contrato-temporal","https://www.pronovias.com/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Certifier identité, attribution et complétude de la source existante"
"A.P.C.","7","https://fr.fashionjobs.com/recrutement/a-p-c-.html","SOURCE_CATALOGUEE_SANS_DIRECT_ACTIF","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdvwgc1sednf2bnfwm5tv7","A.P.C.","NON","22","22","0","0","-7","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","apc.fr","a-p-c:PAUSED","","","CAREER_LINKS_OBSERVED_REVIEW_REQUIRED","https://www.apc.fr/pages/nous-rejoindre | https://www.welcometothejungle.com/fr/companies/a-p-c/jobs | https://www.apcstore.com/pages/nous-rejoindre | https://www.apcstore.de/pages/nous-rejoindre | https://www.apcstore.co.uk/pages/nous-rejoindre | https://www.apcstore.dk/pages/nous-rejoindre","https://www.apc.fr/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"BALIBARIS","7","https://fr.fashionjobs.com/recrutement/balibaris.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_CAREER_LINK_FOUND_ON_PAGES_READ","https://balibaris-career.softy.pro/offres","https://www.balibaris.com/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"CABAIA","7","https://fr.fashionjobs.com/recrutement/cabaia.html","SOURCE_DIRECTE_CATALOGUEE_A_CERTIFIER","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtlyg0wt01d5qf5k13fihscd","CABAIA","NON","8","8","7","0","0","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","cabaia.com","cabaia:ACTIVE","cabaia","","NO_CAREER_LINK_FOUND_ON_PAGES_READ","","https://cabaia.com/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Certifier identité, attribution et complétude de la source existante"
"COMPTOIR DES COTONNIERS","7","https://fr.fashionjobs.com/recrutement/comptoir-des-cotonniers.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdvvws1s8pnf2bwla95cz7","COMPTOIR DES COTONNIERS","NON","0","0","0","0","-7","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","comptoirdescotonniers.com","","","","CAREER_LINKS_OBSERVED_REVIEW_REQUIRED","https://www.comptoirdescotonniers.com/fr/recrutement-c346.html","https://www.comptoirdescotonniers.com/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"DEVRED SAS","7","https://fr.fashionjobs.com/recrutement/devred-sas.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"FAGUO","7","https://fr.fashionjobs.com/recrutement/faguo.html","SOURCE_DIRECTE_CATALOGUEE_A_CERTIFIER","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtlyghjc01zzqf5k2a95m27g","Faguo","NON","10","7","7","0","0","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","faguo-store.com","faguo:ACTIVE","faguo","","CAREER_LINKS_OBSERVED_REVIEW_REQUIRED","https://carriere.faguo-store.com/","https://faguo-store.com/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Certifier identité, attribution et complétude de la source existante"
"IRO","7","https://fr.fashionjobs.com/recrutement/iro.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdvudb1rn8nf2b54by8ci1","IRO","NON","0","0","0","0","-7","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","iroparis.com","","","","NO_CAREER_LINK_FOUND_ON_PAGES_READ","","https://www.iroparis.com/fr/home","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"KS BEAUTE","7","https://fr.fashionjobs.com/recrutement/ks-beaute.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdw47h1upbnf2bt71uf8nq","KS BEAUTE","NON","0","0","0","0","-7","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"MAISON KITSUNÉ","7","https://fr.fashionjobs.com/recrutement/maison-kitsune.html","SOURCE_CATALOGUEE_SANS_DIRECT_ACTIF","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtk1x0yj005anv2bh3cj5lcq","MAISON KITSUNÉ","NON","9","9","0","0","-7","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","maisonkitsune.com","maison-kitsune:RETIRED","","","CAREER_LINKS_OBSERVED_REVIEW_REQUIRED","https://maisonkitsune.com/mk/fr/nous-recherchons/ | https://maisonkitsune.com/mk/job-opportunity/ | https://maisonkitsune.com/mk/jp/job-opportunity-2/ | https://maisonkitsune.com/mk/us/job-opportunity-4/","https://maisonkitsune.com/fr/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"POLENE","7","https://fr.fashionjobs.com/recrutement/polene.html","SOURCE_DIRECTE_CATALOGUEE_A_CERTIFIER","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtk01dhf0000kc47k44sukf3","POLÈNE","NON","79","46","46","0","39","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","polene-paris.com","polene:ACTIVE","polene","","NO_CAREER_LINK_FOUND_ON_PAGES_READ","","https://polene-paris.com/","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Certifier identité, attribution et complétude de la source existante"
"PRADA","7","https://fr.fashionjobs.com/recrutement/prada.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtp8686e3rh3qq4z7tykspax","PRADA","NON","2","2","0","0","-7","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","pradagroup.com","","","","WEBSITE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"WILD ROSE & SPARROW","7","https://fr.fashionjobs.com/recrutement/wild-rose-sparrow.html","AUCUN_RAPPROCHEMENT_ETABLI","A_QUALIFIER","AUCUNE","","","NON","0","0","0","0","","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"ADIDAS","6","https://fr.fashionjobs.com/recrutement/adidas.html","SOURCE_DIRECTE_CATALOGUEE_A_CERTIFIER","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdvv771rzinf2b3bt9vqu4","adidas","NON","1106","52","52","1","46","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","adidas-group.com","adidas:ACTIVE","adidas","","WEBSITE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Certifier identité, attribution et complétude de la source existante"
"ARLETTIE","6","https://fr.fashionjobs.com/recrutement/arlettie.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdvugw1rofnf2b1b13rupe","ARLETTIE","NON","0","0","0","0","-6","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","arlettie.com","","","","WEBSITE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"AXENTIA","6","https://fr.fashionjobs.com/recrutement/axentia.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtkdvzxf1td4nf2bna3s85fp","AXENTIA","NON","1","1","0","0","-6","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","","","","","NO_WEBSITE_IN_PROFILE_OR_PROFILE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
"BALZAC PARIS","6","https://fr.fashionjobs.com/recrutement/balzac-paris.html","COMPANY_PRESENTE_SANS_DIRECT_IDENTIFIE","A_QUALIFIER","NOM_OU_ALIAS_EXACT_CANDIDAT","cmtpysj9l00e13ncqrmgfrbo0","Balzac Paris","NON","21","19","0","0","-6","NON_PERIMETRES_ET_FRAICHEUR_A_ATTESTER","balzac-paris.fr","","","","WEBSITE_UNREADABLE","","","","","NON_CERTIFIE_PAR_CETTE_RECHERCHE","","Retrouver puis prouver le portail officiel; vérifier aussi les groupes et alias"
