maison,careers_domain,kind,entry_url,job_url_pattern,robots_verdict,job_count,verified
"Diesel","hr.diesel.com","generic-listing","{""startUrl"":""https://hr.diesel.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Djerf Avenue","careers.djerfavenue.com","teamtailor","{""origin"":""https://careers.djerfavenue.com""}","","Tech-scan: careers.djerfavenue.com CNAMEs to TEAMTAILOR; no page read.","","anchored"
"Dolce & Gabbana","jobs.dolcegabbana.com","successfactors","{""origin"":""https://jobs.dolcegabbana.com""}","","Tech-scan: jobs.dolcegabbana.com CNAMEs to SUCCESSFACTORS; no page read.","","anchored"
"DÔEN","shopdoen.com","generic-listing","{""startUrl"":""https://shopdoen.com/pages/careers#""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Donuts & Fizz Bath Bombs","careers.company.site","generic-listing","{""startUrl"":""https://careers.company.site/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Dorothee Schumacher","www.dorothee-schumacher.com","generic-listing","{""startUrl"":""https://www.dorothee-schumacher.com/en/fr/career/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"dorothee schumacher","www.schumacher.de","generic-listing","{""startUrl"":""http://www.schumacher.de/en/fr/career/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Dosenbach-Ochsner","jobs.dosenbach.ch","generic-listing","{""startUrl"":""https://jobs.dosenbach.ch/jobsuche/?&pg=1""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Dune London","careers.dunelondon.com","teamtailor","{""origin"":""https://careers.dunelondon.com""}","","Tech-scan: careers.dunelondon.com CNAMEs to TEAMTAILOR; no page read.","","anchored"
"DRYKORN","drykorn.com","generic-listing","{""startUrl"":""https://drykorn.com/fr-fr/career/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"DSQUARED2","www.dsquared2.com","generic-listing","{""startUrl"":""https://www.dsquared2.com/fr/careers/careers.html""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Dynamite","careers.groupedynamite.com","generic-listing","{""startUrl"":""https://careers.groupedynamite.com/gdi/jobs""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"EconomClass","economclass.ua","generic-listing","{""startUrl"":""https://economclass.ua/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Écouter Voir","recrutement.ecoutervoir.fr","generic-listing","{""startUrl"":""https://recrutement.ecoutervoir.fr/toutes-nos-offres/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Elbsand","career.scoretex.com","generic-listing","{""startUrl"":""https://career.scoretex.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"ELAND","careers.eland.co.kr","generic-listing","{""startUrl"":""https://careers.eland.co.kr/talentBank/registFront""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Eliza J","careers.nordstrom.com","workday","{""tenant"":""nordstrom"",""site"":""nordstrom_careers"",""origin"":""https://nordstrom.wd501.myworkdayjobs.com""}","","ATS link discovered on https://careers.nordstrom.com/?_ics=1756489818667&irclickid=~acimhb86b~fijdc467ci-2354767937a26bab34ULJHywvsmida3","","anchored"
"Elk","elkthelabel.com","generic-listing","{""startUrl"":""https://elkthelabel.com/pages/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Elliss","www.elliss.co.uk","generic-listing","{""startUrl"":""https://www.elliss.co.uk/careers/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"ELTON hodinářská","www.prim.cz","generic-listing","{""startUrl"":""https://www.prim.cz/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"ENCUENTRO","empleo.encuentromoda.com","generic-listing","{""startUrl"":""https://empleo.encuentromoda.com/jobs/dependiente-a-15h-lorca-temporal-0c128a6d-6662-44bd-96ea-9f3e6d9b59c2""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"EO Products","www.eoproducts.com","generic-listing","{""startUrl"":""https://www.eoproducts.com/pages/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"EQUIVA","jobs.equiva.com","generic-listing","{""startUrl"":""https://jobs.equiva.com/?id=6f9fbd""}","","JobPosting data present; generic career crawler (verify adapter).","","anchored"
"Epos","careers.epos.ch","generic-listing","{""startUrl"":""https://careers.epos.ch/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"eSalon","www.esalon.com","generic-listing","{""startUrl"":""http://www.esalon.com/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"ese o ese","jobs.eseoese.com","generic-listing","{""startUrl"":""https://jobs.eseoese.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Essilor","jobs.essilor.com","successfactors","{""origin"":""https://jobs.essilor.com""}","","Tech-scan: jobs.essilor.com CNAMEs to SUCCESSFACTORS; no page read.","","anchored"
"EssilorLuxottica","careers.essilorluxottica.com","successfactors","{""origin"":""https://careers.essilorluxottica.com""}","","Tech-scan: careers.essilorluxottica.com CNAMEs to SUCCESSFACTORS; no page read.","","anchored"
"Estée Lauder Companies","careers.elcompanies.com","eightfold","{""origin"":""https://careers.elcompanies.com""}","","Tech-scan: careers.elcompanies.com CNAMEs to EIGHTFOLD; no page read.","","anchored"
"Essentiel Antwerp","careers.essentiel-antwerp.com","generic-listing","{""startUrl"":""https://careers.essentiel-antwerp.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Etienne Aigner","careers.etienneaigner.com","generic-listing","{""startUrl"":""https://careers.etienneaigner.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Eurofragrance","careers.eurofragance.com","teamtailor","{""origin"":""https://careers.eurofragance.com""}","","Tech-scan: careers.eurofragance.com CNAMEs to TEAMTAILOR; no page read.","","anchored"
"EVEREVE","evereve.com","generic-listing","{""startUrl"":""https://evereve.com/pages/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Everything But Water","www.everythingbutwater.com","workday","{""tenant"":""everythingbutwater"",""site"":""External"",""origin"":""https://everythingbutwater.wd5.myworkdayjobs.com""}","","ATS link discovered on https://www.everythingbutwater.com/careers","","anchored"
"Everyone","www.eoproducts.com","generic-listing","{""startUrl"":""https://www.eoproducts.com/pages/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Eyes + more","career.eyesandmore.de","teamtailor","{""origin"":""https://career.eyesandmore.de""}","","TEAMTAILOR widget detected on career.eyesandmore.de","","anchored"
"f.a.e.","www.thrivemarket.com","greenhouse","{""board"":""thrivemarket""}","","ATS link discovered on https://www.thrivemarket.com/careers","","anchored"
"Fabletics","www.fabletics.com","workday","{""tenant"":""fabletics"",""site"":""en-US"",""origin"":""https://fabletics.wd1.myworkdayjobs.com""}","","ATS link discovered on https://www.fabletics.com/","","anchored"
"FAGUO","carriere.faguo-store.com","teamtailor","{""origin"":""https://carriere.faguo-store.com""}","","Tech-scan: carriere.faguo-store.com CNAMEs to TEAMTAILOR; no page read.","","anchored"
"FABUTAN","careers.fabutan.com","generic-listing","{""startUrl"":""http://careers.fabutan.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Falabella","jobs.falabella.com","generic-listing","{""startUrl"":""https://jobs.falabella.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Famar","www.famar.gr","generic-listing","{""startUrl"":""http://www.famar.gr/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Familia","www.famil.ru","generic-listing","{""startUrl"":""https://www.famil.ru/ru/jobs/special""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Farmers Trading Company","careers.farmers.co.nz","generic-listing","{""startUrl"":""https://careers.farmers.co.nz/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Fashion Club 70","www.fashionclub70.be","generic-listing","{""startUrl"":""https://www.fashionclub70.be/nl/jobs""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"FatFace","careers.fatface.com","generic-listing","{""startUrl"":""https://careers.fatface.com/jobs""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Ferrari","jobs.ferrari.com","successfactors","{""origin"":""https://jobs.ferrari.com""}","","Tech-scan: jobs.ferrari.com CNAMEs to SUCCESSFACTORS; no page read.","","anchored"
"Fenwick","careers.fenwick.co.uk","generic-listing","{""startUrl"":""https://careers.fenwick.co.uk/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Fenwick Colchester","careers.fenwick.co.uk","generic-listing","{""startUrl"":""https://careers.fenwick.co.uk/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Ffern","ffern.co","generic-listing","{""startUrl"":""https://ffern.co/about/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"FIGS","www.wearfigs.com","greenhouse","{""board"":""figs15""}","","ATS link discovered on https://www.wearfigs.com/careers","","anchored"
"FitFlop","careers.fitflop.com","teamtailor","{""origin"":""https://careers.fitflop.com""}","","Tech-scan: careers.fitflop.com CNAMEs to TEAMTAILOR; no page read.","","anchored"
"Flattered","careers.flattered.com","teamtailor","{""origin"":""https://careers.flattered.com""}","","Tech-scan: careers.flattered.com CNAMEs to TEAMTAILOR; no page read.","","anchored"
"Fjällräven","career.fjallraven.com","teamtailor","{""origin"":""https://career.fjallraven.com""}","","TEAMTAILOR widget detected on career.fjallraven.com","","anchored"
"Flaxta","www.flaxta.com","generic-listing","{""startUrl"":""https://www.flaxta.com/fr-fr/blogs/career/agents-or-distributors-wanted-in-italy""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Flowery","www.aiibeauty.com","generic-listing","{""startUrl"":""https://www.aiibeauty.com/pages/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Flik Flak","www.flikflak.com","generic-listing","{""startUrl"":""https://www.flikflak.com/s/Sites-swarp-EU-Site/dw/shared_session_redirect?url=https%3A%2F%2Fwww.swatch.com%2Ffr-fr%2Fjobs""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Fou de Lou","jobs.foudelou.be","generic-listing","{""startUrl"":""https://jobs.foudelou.be/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Frank Darling","careers.frankdarling.com","teamtailor","{""origin"":""https://careers.frankdarling.com""}","","Tech-scan: careers.frankdarling.com CNAMEs to TEAMTAILOR; no page read.","","anchored"
"Francesca's","www.francescas.com","workday","{""tenant"":""francescas"",""site"":""Home_Office_Opportunities"",""origin"":""https://francescas.wd1.myworkdayjobs.com""}","","ATS link discovered on https://www.francescas.com/careers","","anchored"
"Fred Perry","careers.fredperry.com","teamtailor","{""origin"":""https://careers.fredperry.com""}","","Tech-scan: careers.fredperry.com CNAMEs to TEAMTAILOR; no page read.","","anchored"
"Frenchies Modern Nail Care","frenchiesnails.com","generic-listing","{""startUrl"":""https://frenchiesnails.com/careers/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Fuchs Schmitt","careers.fuchsschmitt.de","generic-listing","{""startUrl"":""https://careers.fuchsschmitt.de/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Full Circle Beauty","uppercanadasoap.com","generic-listing","{""startUrl"":""http://uppercanadasoap.com/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Funky Buddha","www.funky-buddha.com","smartrecruiters-whitelabel","{""company"":""ALTEXSA""}","","ATS link discovered on https://www.funky-buddha.com/","","anchored"
"FURSAC","fursac.com","wttj","{""slug"":""de-fursac""}","","ATS link discovered on https://fursac.com/","","anchored"
"Fussl Modestraße","jobs.fussl.at","generic-listing","{""startUrl"":""https://jobs.fussl.at/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"FYidoctors","careers.fyidoctors.com","generic-listing","{""startUrl"":""https://careers.fyidoctors.com/fr""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"G.Label by Goop","goop.com","greenhouse","{""board"":""goop""}","","ATS link discovered on https://goop.com/careers/","","anchored"
"Gallo","careers.gallo.com","successfactors","{""origin"":""https://careers.gallo.com""}","","Tech-scan: careers.gallo.com CNAMEs to SUCCESSFACTORS; no page read.","","anchored"
"GeBe Maternity","www.gebematernity.nl","generic-listing","{""startUrl"":""https://www.gebematernity.nl/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Gerngross department store","www.gerngross.at","generic-listing","{""startUrl"":""https://www.gerngross.at/de/jobs/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Giant Tiger","www.gianttiger.com","workday","{""tenant"":""gianttiger"",""site"":""en-US"",""origin"":""https://gianttiger.wd3.myworkdayjobs.com""}","","ATS link discovered on http://www.gianttiger.com/pages/careers","","anchored"
"Giaquinto","careers.giaquintobags.com","generic-listing","{""startUrl"":""https://careers.giaquintobags.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Gina Tricot","careers.ginatricot.com","teamtailor","{""origin"":""https://careers.ginatricot.com""}","","Tech-scan: careers.ginatricot.com CNAMEs to TEAMTAILOR; no page read.","","anchored"
"Giuseppe Zanotti","careers.giuseppezanotti.com","generic-listing","{""startUrl"":""https://careers.giuseppezanotti.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Gobi Cashmere","www.gobicashmere.com","generic-listing","{""startUrl"":""https://www.gobicashmere.com/pages/careers/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"GOT BAG","got-bag.com","personio","{""subdomain"":""got-bag-gmbh"",""host"":""got-bag-gmbh.jobs.personio.de""}","","ATS link discovered on https://got-bag.com/pages/jobs","","anchored"
"Gorman","www.gormanshop.com.au","generic-listing","{""startUrl"":""https://www.gormanshop.com.au/en-eu/pages/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Graciela Huam","gracielahuam.com","generic-listing","{""startUrl"":""https://gracielahuam.com/en/careers/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Goonj","goonj.org","generic-listing","{""startUrl"":""https://goonj.org/career/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Gunnar Optiks","careers.gunnars.com","generic-listing","{""startUrl"":""https://careers.gunnars.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Guts & Gusto","jobs.gutsgusto.com","generic-listing","{""startUrl"":""https://jobs.gutsgusto.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Gym King","www.thegymking.com","generic-listing","{""startUrl"":""https://www.thegymking.com/pages/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Hairbond","careers.hairbond.com","generic-listing","{""startUrl"":""https://careers.hairbond.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Hakim Optical","hakimoptical.ca","generic-listing","{""startUrl"":""https://hakimoptical.ca/careers/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"HalfPrice","career.halfprice.eu","generic-listing","{""startUrl"":""https://career.halfprice.eu/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Hans Anders","jobs.hansanders.nl","teamtailor","{""origin"":""https://jobs.hansanders.nl""}","","Tech-scan: jobs.hansanders.nl CNAMEs to TEAMTAILOR; no page read.","","anchored"
"Harley Davidson","jobs.harley-davidson.com","successfactors","{""origin"":""https://jobs.harley-davidson.com""}","","Tech-scan: jobs.harley-davidson.com CNAMEs to SUCCESSFACTORS; no page read.","","anchored"
"Harvey Nichols","careers.harveynichols.com","teamtailor","{""origin"":""https://careers.harveynichols.com""}","","Tech-scan: careers.harveynichols.com CNAMEs to TEAMTAILOR; no page read.","","anchored"
"Harry Rosen Inc.","www.harryrosen.com","workday","{""tenant"":""harry"",""site"":""en-US"",""origin"":""https://harry.wd10.myworkdayjobs.com""}","","ATS link discovered on http://www.harryrosen.com/en/careers","","anchored"
"Head Over Heels by Dune","careers.dunelondon.com","teamtailor","{""origin"":""https://careers.dunelondon.com""}","","Tech-scan: careers.dunelondon.com CNAMEs to TEAMTAILOR; no page read.","","anchored"
"Henri Lloyd","www.henrilloyd.com","generic-listing","{""startUrl"":""http://www.henrilloyd.com/pages/careers""}","","JobPosting data present; generic career crawler (verify adapter).","","anchored"
"Hey Marly","www.heymarly.com","personio","{""subdomain"":""hey-marly-gmbh"",""host"":""hey-marly-gmbh.jobs.personio.de""}","","ATS link discovered on https://www.heymarly.com/","","anchored"
"Hippie Soul Candle Shop","hippiesoulcandleshop.com","generic-listing","{""startUrl"":""https://hippiesoulcandleshop.com/""}","","JobPosting data present; generic career crawler (verify adapter).","","anchored"
"Hoff","careers.thehoffbrand.com","teamtailor","{""origin"":""https://careers.thehoffbrand.com""}","","Tech-scan: careers.thehoffbrand.com CNAMEs to TEAMTAILOR; no page read.","","anchored"
"Hollister","jobs.hollister.com","successfactors","{""origin"":""https://jobs.hollister.com""}","","Tech-scan: jobs.hollister.com CNAMEs to SUCCESSFACTORS; no page read.","","anchored"
"Honey Birdette","careers.honeybirdette.com","teamtailor","{""origin"":""https://careers.honeybirdette.com""}","","Tech-scan: careers.honeybirdette.com CNAMEs to TEAMTAILOR; no page read.","","anchored"
"HORIZN Studios","horizn-studios.com","personio","{""subdomain"":""horizn-studios"",""host"":""horizn-studios.jobs.personio.de""}","","ATS link discovered on https://horizn-studios.com/pages/jobs","","anchored"
"HUBER","careers.huber.com","successfactors","{""origin"":""https://careers.huber.com""}","","Tech-scan: careers.huber.com CNAMEs to SUCCESSFACTORS; no page read.","","anchored"
"HULTQUIST-COPENHAGEN","www.hultquist-copenhagen.com","generic-listing","{""startUrl"":""https://www.hultquist-copenhagen.com/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Identity","www.identity.co.za","generic-listing","{""startUrl"":""https://www.identity.co.za/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"indi & cold","www.indiandcold.com","generic-listing","{""startUrl"":""https://www.indiandcold.com/""}","","GENERIC_JSONLD widget detected on www.indiandcold.com","","anchored"
"Indiska","careers.indiska.com","teamtailor","{""origin"":""https://careers.indiska.com""}","","Tech-scan: careers.indiska.com CNAMEs to TEAMTAILOR; no page read.","","anchored"
"Hua Seng Heng","www.huasengheng.com","generic-listing","{""startUrl"":""https://www.huasengheng.com/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"International Watch Company","www.iwc.com","generic-listing","{""startUrl"":""https://www.iwc.com/eu-en/company/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Ipra Fragrances","www.iprafrance.com","generic-listing","{""startUrl"":""https://www.iprafrance.com/carriere/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Isilk","careers.isilk.de","generic-listing","{""startUrl"":""https://careers.isilk.de/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Isosceles Lingerie","jobs.bigcartel.com","recruitee","{""subdomain"":""bigcartel""}","","ATS link discovered on https://jobs.bigcartel.com/","","anchored"
"IZOD","careers.kohls.com","generic-listing","{""startUrl"":""https://careers.kohls.com""}","","Tech-scan: careers.kohls.com CNAMEs to PHENOM; no page read. (needs slug — review)","","anchored"
"Ivi Collection","www.ivicollection.com","generic-listing","{""startUrl"":""https://www.ivicollection.com/jobs/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"J. Crew Factory","jobs.jcrew.com","workday","{""tenant"":""jcrew"",""site"":""JCrewCareers"",""origin"":""https://jcrew.wd1.myworkdayjobs.com""}","","ATS link discovered on https://jobs.jcrew.com/","","anchored"
"J.Crew","jobs.jcrew.com","workday","{""tenant"":""jcrew"",""site"":""JCrewCareers"",""origin"":""https://jcrew.wd1.myworkdayjobs.com""}","","ATS link discovered on https://jobs.jcrew.com/","","anchored"
"J.Jill","jobs.jjill.com","generic-listing","{""startUrl"":""https://jobs.jjill.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"JACQUELINE de YONG","www.only.com","generic-listing","{""startUrl"":""https://www.only.com/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"JanSport","www.jansport.com","workday","{""tenant"":""vfc"",""site"":""jansport_careers"",""origin"":""https://vfc.wd5.myworkdayjobs.com""}","","ATS link discovered on https://www.jansport.com/","","anchored"
"JDY","www.jdy.co","generic-listing","{""startUrl"":""https://www.jdy.co/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"The Kooples","careers.thekooples.com","digitalrecruiters","{""domainName"":""careers.thekooples.com""}","","Resolved by direct DigitalRecruiters API probe (careers.thekooples.com); no homepage read.","","anchored"
"Jérôme Dreyfuss","www.jerome-dreyfuss.com","wttj","{""slug"":""jerome-dreyfuss""}","","ATS link discovered on https://www.jerome-dreyfuss.com/en/pages/nous-rejoindre","","anchored"
"Jewells","careers.jewells.com","teamtailor","{""origin"":""https://careers.jewells.com""}","","Tech-scan: careers.jewells.com CNAMEs to TEAMTAILOR; no page read.","","anchored"
"Jennifer Fisher","jenniferfisherjewelry.com","generic-listing","{""startUrl"":""https://jenniferfisherjewelry.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Jewel Cafe","jewel-cafe.jp","generic-listing","{""startUrl"":""https://jewel-cafe.jp/job/kanagawa/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"JEWELRIA","www.chowtaifook.com","generic-listing","{""startUrl"":""https://www.chowtaifook.com/en-hk/house-of-ctf/careers""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Jimmy Fairly","www.jimmyfairly.com","generic-listing","{""startUrl"":""https://www.jimmyfairly.com/""}","","GENERIC_JSONLD widget detected on www.jimmyfairly.com","","anchored"
"John Fluevog Shoes","jobs.fluevog.com","teamtailor","{""origin"":""https://jobs.fluevog.com""}","","Tech-scan: jobs.fluevog.com CNAMEs to TEAMTAILOR; no page read.","","anchored"
"Joanie","careers.joanieclothing.com","generic-listing","{""startUrl"":""https://careers.joanieclothing.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"John Henric","career.johnhenric.com","teamtailor","{""origin"":""https://career.johnhenric.com""}","","TEAMTAILOR widget detected on career.johnhenric.com","","anchored"
"Johnny Was","www.johnnywas.com","workday","{""tenant"":""oxford"",""site"":""en-US"",""origin"":""https://oxford.wd5.myworkdayjobs.com""}","","ATS link discovered on https://www.johnnywas.com/careers.html","","anchored"
"Johnstons of Elgin","careers.johnstonsofelgin.com","generic-listing","{""startUrl"":""https://careers.johnstonsofelgin.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Joyalukkas","careers.joyalukkas.com","generic-listing","{""startUrl"":""https://careers.joyalukkas.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"JP1880 Menswear","www.popken.de","generic-listing","{""startUrl"":""https://www.popken.de/en/career/jobs""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Juchheim Cosmetics","career.juchheim-methode.de","generic-listing","{""startUrl"":""https://career.juchheim-methode.de/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Julie & Grace","www.julie-grace.de","personio","{""subdomain"":""julie-grace"",""host"":""julie-grace.jobs.personio.de""}","","ATS link discovered on https://www.julie-grace.de/jobs","","anchored"
"Kaipuni","careers.shopselect.net","generic-listing","{""startUrl"":""https://careers.shopselect.net/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Kalyan Jewellers","careers.kalyanjewellers.net","generic-listing","{""startUrl"":""https://careers.kalyanjewellers.net/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Kapten & Son","carriere.kapten-son.com","generic-listing","{""startUrl"":""https://carriere.kapten-son.com""}","","Tech-scan: carriere.kapten-son.com CNAMEs to RECRUITEE; no page read. (needs slug — review)","","anchored"
"Kanzler","kanzler-style.ru","generic-listing","{""startUrl"":""https://kanzler-style.ru/job/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"KARMAMIA","careers.karmamiacph.com","generic-listing","{""startUrl"":""https://careers.karmamiacph.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Katie Loxton","careers.katieloxton.com","teamtailor","{""origin"":""https://careers.katieloxton.com""}","","Tech-scan: careers.katieloxton.com CNAMEs to TEAMTAILOR; no page read.","","anchored"
"Kavat","careers.kavat.com","teamtailor","{""origin"":""https://careers.kavat.com""}","","Tech-scan: careers.kavat.com CNAMEs to TEAMTAILOR; no page read.","","anchored"
"KAY Jewelers","www.kay.com","workday","{""tenant"":""signetjewelers"",""site"":""Kay_Jewelers"",""origin"":""https://signetjewelers.wd1.myworkdayjobs.com""}","","ATS link discovered on https://www.kay.com/","","anchored"
"Kathmandu","careers.kathmandu.co.nz","generic-listing","{""startUrl"":""https://careers.kathmandu.co.nz/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Kaufhaus Stolz","www.kaufhaus-stolz.com","generic-listing","{""startUrl"":""https://www.kaufhaus-stolz.com/karriere/jobs/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Kaviar Gauche","www.kaviargauche.com","generic-listing","{""startUrl"":""https://www.kaviargauche.com/en/career/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Kazar","careers.kazar.com","generic-listing","{""startUrl"":""https://careers.kazar.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Kastner & Öhler","www.kastner-oehler.at","generic-listing","{""startUrl"":""https://www.kastner-oehler.at/job-karriere/angebot/backoffice-mitarbeiterin-graz-teilzeit/""}","","JobPosting data present; generic career crawler (verify adapter).","","anchored"
"Kering Beauté","careers.kering.com","eightfold","{""origin"":""https://careers.kering.com""}","","Tech-scan: careers.kering.com CNAMEs to EIGHTFOLD; no page read.","","anchored"
"Kendra Scott","www.kendrascott.com","generic-listing","{""startUrl"":""https://www.kendrascott.com/careers.html""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Kennel & Schmenger","www.kennel-schmenger.com","generic-listing","{""startUrl"":""https://www.kennel-schmenger.com/en-fr/CAREER/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Khaadi","jobs.khaadi.com","generic-listing","{""startUrl"":""https://jobs.khaadi.com/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Kicks","careers.kicks.se","teamtailor","{""origin"":""https://careers.kicks.se""}","","Tech-scan: careers.kicks.se CNAMEs to TEAMTAILOR; no page read.","","anchored"
"KILLSTAR","careers.killstar.com","teamtailor","{""origin"":""https://careers.killstar.com""}","","Tech-scan: careers.killstar.com CNAMEs to TEAMTAILOR; no page read.","","anchored"
"Kiehl's","www.kiehls.com","generic-listing","{""startUrl"":""https://www.kiehls.com/careers.html""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Klättermusen","careers.klattermusen.com","teamtailor","{""origin"":""https://careers.klattermusen.com""}","","Tech-scan: careers.klattermusen.com CNAMEs to TEAMTAILOR; no page read.","","anchored"
"Klauser Schuhe","www.klauser-schuhe.de","talentsoft","{""origin"":""http://www.klauser-schuhe.de""}","","TALENTSOFT widget detected on www.klauser-schuhe.de","","anchored"
"KIZASI","careers.theshop.jp","generic-listing","{""startUrl"":""https://careers.theshop.jp/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
"Klosterfrau Melissengeist","careers.klosterfrau.de","generic-listing","{""startUrl"":""https://careers.klosterfrau.de/""}","","Careers page detected (host/links); generic crawler — needs a human check.","","anchored"
